,auth_cd,auth_nm,sch_cd,sch_nm,lat,lon
17902,110,Edmonton Catholic Separate School District No. 7,1024,St. John Bosco,53.621776,-113.457471
18216,110,Edmonton Catholic Separate School District No. 7,1026,Archbishop Joseph MacNeil,53.459987,-113.577323
18418,110,Edmonton Catholic Separate School District No. 7,1027,St. Teresa of Calcutta Elementary School,53.55197,-113.474814
18590,110,Edmonton Catholic Separate School District No. 7,8001,Annunciation,53.530278,-113.606843
18710,110,Edmonton Catholic Separate School District No. 7,8003,Father Leo Green,53.607534,-113.456088
18981,110,Edmonton Catholic Separate School District No. 7,8010,Our Lady of Peace,53.5555,-113.595702
19060,110,Edmonton Catholic Separate School District No. 7,8011,Our Lady of Victories,53.515087,-113.594897
19148,110,Edmonton Catholic Separate School District No. 7,8013,St. Angela,53.595545,-113.549477
19424,110,Edmonton Catholic Separate School District No. 7,8016,St. Bernadette,53.572755,-113.402218
19498,110,Edmonton Catholic Separate School District No. 7,8018,St. Boniface,53.476699,-113.537413
19587,110,Edmonton Catholic Separate School District No. 7,8020,St. Dominic,53.606084,-113.432762
19806,110,Edmonton Catholic Separate School District No. 7,8022,St. Gerard,53.580642,-113.470634
19880,110,Edmonton Catholic Separate School District No. 7,8028,St. Martin,53.488963,-113.522947
19951,110,Edmonton Catholic Separate School District No. 7,8029,St. Matthew,53.591809,-113.474488
20176,110,Edmonton Catholic Separate School District No. 7,8032,St. Stanislaus,53.474326,-113.525925
20296,110,Edmonton Catholic Separate School District No. 7,8034,St. Vladimir Elementary School,53.592867,-113.456308
20418,110,Edmonton Catholic Separate School District No. 7,8036,St. Jerome,53.560974,-113.39302
20469,110,Edmonton Catholic Separate School District No. 7,8037,St. Philip,53.606488,-113.474749
20605,110,Edmonton Catholic Separate School District No. 7,8038,St. Augustine,53.473715,-113.505276
20735,110,Edmonton Catholic Separate School District No. 7,8039,St. Monica School,53.490675,-113.574555
20811,110,Edmonton Catholic Separate School District No. 7,8040,St. Justin,53.517525,-113.623211
20881,110,Edmonton Catholic Separate School District No. 7,8041,St. Elizabeth,53.468759,-113.451653
20976,110,Edmonton Catholic Separate School District No. 7,8042,St. Anne,53.604013,-113.485552
21049,110,Edmonton Catholic Separate School District No. 7,8043,Katherine Therrien,53.612001,-113.527216
21270,110,Edmonton Catholic Separate School District No. 7,8045,St. Timothy,53.605925,-113.523953
21380,110,Edmonton Catholic Separate School District No. 7,8047,St. Maria Goretti,53.585427,-113.407815
21462,110,Edmonton Catholic Separate School District No. 7,8048,Bishop Savaryn,53.62196,-113.508529
21606,110,Edmonton Catholic Separate School District No. 7,8049,Anne Fitzgerald,53.594395,-113.383735
21671,110,Edmonton Catholic Separate School District No. 7,8050,St. Martha,53.506332,-113.635041
21801,110,Edmonton Catholic Separate School District No. 7,8051,St. Teresa,53.456931,-113.52672
21986,110,Edmonton Catholic Separate School District No. 7,8053,John Paul I,53.472385,-113.425688
22061,110,Edmonton Catholic Separate School District No. 7,8054,St. Bonaventure,53.603301,-113.388714
22201,110,Edmonton Catholic Separate School District No. 7,8055,St. Lucy,53.622986,-113.526547
22331,110,Edmonton Catholic Separate School District No. 7,8056,St. Richard,53.44604,-113.427735
22422,110,Edmonton Catholic Separate School District No. 7,8057,St. Charles,53.632893,-113.503529
22552,110,Edmonton Catholic Separate School District No. 7,8058,Our Lady of The Prairies,53.499891,-113.625354
22684,110,Edmonton Catholic Separate School District No. 7,8059,Bishop Greschuk,53.635117,-113.480605
22834,110,Edmonton Catholic Separate School District No. 7,8060,Mary Hanley,53.462509,-113.400565
22990,110,Edmonton Catholic Separate School District No. 7,8061,Good Shepherd,53.491537,-113.635712
23307,110,Edmonton Catholic Separate School District No. 7,8202,Grandin School,53.53653,-113.5108
23447,110,Edmonton Catholic Separate School District No. 7,8203,Holy Cross,53.546765,-113.582383
23640,110,Edmonton Catholic Separate School District No. 7,8205,Our Lady of Mount Carmel,53.512779,-113.501554
23938,110,Edmonton Catholic Separate School District No. 7,8208,St. Alphonsus,53.568848,-113.465572
24064,110,Edmonton Catholic Separate School District No. 7,8210,St. Basil School,53.565868,-113.495864
24199,110,Edmonton Catholic Separate School District No. 7,8211,St. Brendan,53.529481,-113.424949
24277,110,Edmonton Catholic Separate School District No. 7,8212,St. Catherine,53.556211,-113.509455
24721,110,Edmonton Catholic Separate School District No. 7,8214,Ben Calf Robe - St. Clare,53.571369,-113.439514
24854,110,Edmonton Catholic Separate School District No. 7,8215,St. Edmund,53.590286,-113.52481
25112,110,Edmonton Catholic Separate School District No. 7,8216,St. Francis of Assisi,53.588196,-113.443826
25199,110,Edmonton Catholic Separate School District No. 7,8217,St. Gabriel,53.550827,-113.423479
25319,110,Edmonton Catholic Separate School District No. 7,8218,St. James,53.560974,-113.39302
25562,110,Edmonton Catholic Separate School District No. 7,8220,St. Leo,53.575379,-113.424894
25825,110,Edmonton Catholic Separate School District No. 7,8225,St. Paul,53.533065,-113.572001
25948,110,Edmonton Catholic Separate School District No. 7,8226,St. Pius X,53.577401,-113.54325
26277,110,Edmonton Catholic Separate School District No. 7,8229,St. Vincent,53.548463,-113.560616
26351,110,Edmonton Catholic Separate School District No. 7,8230,St. Elizabeth Seton,53.595452,-113.396818
26581,110,Edmonton Catholic Separate School District No. 7,8231,St. Clement,53.446074,-113.449686
26813,110,Edmonton Catholic Separate School District No. 7,8232,St. Benedict,53.526174,-113.633616
26952,110,Edmonton Catholic Separate School District No. 7,8234,Holy Family,53.446398,-113.402559
27178,110,Edmonton Catholic Separate School District No. 7,8236,Frere Antoine,53.459542,-113.44879
27370,110,Edmonton Catholic Separate School District No. 7,8237,St. Mary,53.475976,-113.584615
27542,110,Edmonton Catholic Separate School District No. 7,8238,St. Kateri Catholic School,53.476212,-113.400873
28917,110,Edmonton Catholic Separate School District No. 7,8410,J H Picard,53.507584,-113.485753
82494,3020,Edmonton School District No. 7,18,The Academy at King Edward,53.521400451660156,-113.48999786376953
82685,3020,Edmonton School District No. 7,1003,Jackson Heights Elementary,53.4833984375,-113.40899658203125
82807,3020,Edmonton School District No. 7,1004,George P. Nicholson School,53.44269943237305,-113.5250015258789
84119,3020,Edmonton School District No. 7,7055,Victoria School,53.5536003112793,-113.49600219726562
86681,3020,Edmonton School District No. 7,7100,Abbott School,53.574501037597656,-113.39299774169922
86783,3020,Edmonton School District No. 7,7104,Athlone School,53.5880012512207,-113.54499816894531
86898,3020,Edmonton School District No. 7,7106,Beacon Heights School,53.575401306152344,-113.41400146484375
86944,3020,Edmonton School District No. 7,7107,Belgravia School,53.5099983215332,-113.53199768066406
86984,3020,Edmonton School District No. 7,7109,Belvedere School,53.59510040283203,-113.43599700927734
87057,3020,Edmonton School District No. 7,7113,Calder School,53.5890007019043,-113.5260009765625
87134,3020,Edmonton School District No. 7,7114,Capilano School,53.57889938354492,-113.54100036621094
87217,3020,Edmonton School District No. 7,7115,Coronation School,53.55509948730469,-113.56099700927734
87273,3020,Edmonton School District No. 7,7118,Delton School,53.57590103149414,-113.47799682617188
87402,3020,Edmonton School District No. 7,7121,Dovercourt School,53.57379913330078,-113.56199645996094
87519,3020,Edmonton School District No. 7,7123,Forest Heights School,53.544700622558594,-113.4530029296875
87617,3020,Edmonton School District No. 7,7126,Glenora School,53.5442008972168,-113.55599975585938
87680,3020,Edmonton School District No. 7,7127,Gold Bar School,53.54949951171875,-113.41300201416016
87734,3020,Edmonton School District No. 7,7128,Grandview Heights School,53.4995002746582,-113.5469970703125
87838,3020,Edmonton School District No. 7,7129,Grovenor School,53.54499816894531,-113.56900024414062
87881,3020,Edmonton School District No. 7,7132,Hazeldean School,53.504600524902344,-113.47899627685547
87937,3020,Edmonton School District No. 7,7136,Inglewood School,53.566001892089844,-113.54000091552734
